sample	Chloroquine	Pyrimethamine	Sulfadoxine	Mefloquine	Artemisinin	Piperaquine	SP (uncomplicated)	SP (IPTp)	AS-MQ	DHA-PPQ
SPT17993	Sensitive	Resistant	Resistant	Undetermined	Sensitive	Undetermined	Sensitive	Sensitive	Sensitive	Sensitive
SPT17995	Sensitive	Sensitive	Resistant	Undetermined	Undetermined	Undetermined	Sensitive	Sensitive	Undetermined	Undetermined
SPT18001	Sensitive	Resistant	Resistant	Undetermined	Undetermined	Undetermined	Resistant	Sensitive	Undetermined	Undetermined
SPT18002	Sensitive	Resistant	Resistant	Undetermined	Undetermined	Undetermined	Sensitive	Sensitive	Undetermined	Undetermined
SPT18003	Sensitive	Resistant	Resistant	Sensitive	Undetermined	Undetermined	Resistant	Sensitive	Sensitive	Undetermined
SPT18017	Sensitive	Resistant	Resistant	Undetermined	Undetermined	Undetermined	Undetermined	Sensitive	Undetermined	Undetermined
SPT18018	Sensitive	Sensitive	Resistant	Undetermined	Undetermined	Undetermined	Sensitive	Sensitive	Undetermined	Undetermined
SPT18026	Undetermined	Sensitive	Undetermined	Undetermined	Undetermined	Undetermined	Sensitive	Sensitive	Undetermined	Undetermined
SPT18037	Sensitive	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
SPT18042	Sensitive	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
SPT18045	Undetermined	Undetermined	Resistant	Undetermined	Undetermined	Undetermined	Undetermined	Sensitive	Undetermined	Undetermined
SPT18049	Sensitive	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Sensitive	Undetermined	Undetermined
SPT18050	Sensitive	Undetermined	Resistant	Undetermined	Undetermined	Undetermined	Undetermined	Sensitive	Undetermined	Undetermined
SPT18051	Resistant	Undetermined	Resistant	Undetermined	Undetermined	Undetermined	Undetermined	Sensitive	Undetermined	Undetermined
SPT18052	Sensitive	Resistant	Resistant	Sensitive	Undetermined	Undetermined	Resistant	Sensitive	Sensitive	Undetermined
SPT18055	Sensitive	Resistant	Undetermined	Undetermined	Undetermined	Undetermined	Resistant	Undetermined	Undetermined	Undetermined
SPT18056	Sensitive	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Sensitive	Sensitive	Undetermined	Undetermined
SPT18057	Sensitive	Undetermined	Resistant	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
SPT18058	Sensitive	Resistant	Sensitive	Undetermined	Undetermined	Undetermined	Resistant	Sensitive	Undetermined	Undetermined
SPT18066	Sensitive	Resistant	Resistant	Undetermined	Undetermined	Undetermined	Sensitive	Sensitive	Undetermined	Undetermined
SPT18101	Sensitive	Resistant	Resistant	Sensitive	Undetermined	Undetermined	Resistant	Sensitive	Sensitive	Undetermined
SPT18102	Sensitive	Resistant	Resistant	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
SPT18108	Sensitive	Resistant	Resistant	Undetermined	Undetermined	Undetermined	Sensitive	Sensitive	Undetermined	Undetermined
SPT18109	Sensitive	Resistant	Resistant	Sensitive	Undetermined	Undetermined	Resistant	Sensitive	Sensitive	Undetermined
SPT18111	Sensitive	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Sensitive	Undetermined	Undetermined
SPT18112	Sensitive	Resistant	Resistant	Undetermined	Undetermined	Undetermined	Sensitive	Sensitive	Undetermined	Undetermined
SPT18115	Undetermined	Resistant	Resistant	Undetermined	Undetermined	Undetermined	Undetermined	Sensitive	Undetermined	Undetermined
SPT18118	Sensitive	Undetermined	Resistant	Undetermined	Undetermined	Undetermined	Undetermined	Sensitive	Undetermined	Undetermined
SPT18119	Sensitive	Undetermined	Resistant	Sensitive	Undetermined	Undetermined	Undetermined	Sensitive	Sensitive	Undetermined
SPT18120	Sensitive	Resistant	Resistant	Sensitive	Undetermined	Undetermined	Resistant	Sensitive	Sensitive	Undetermined
SPT18122	Sensitive	Undetermined	Undetermined	Sensitive	Undetermined	Undetermined	Undetermined	Undetermined	Sensitive	Undetermined
SPT18123	Sensitive	Resistant	Undetermined	Sensitive	Undetermined	Sensitive	Undetermined	Sensitive	Sensitive	Sensitive
SPT18129	Sensitive	Resistant	Sensitive	Undetermined	Undetermined	Undetermined	Undetermined	Sensitive	Undetermined	Undetermined
SPT18133	Sensitive	Resistant	Resistant	Undetermined	Undetermined	Undetermined	Undetermined	Sensitive	Undetermined	Undetermined
SPT18138	Sensitive	Sensitive	Sensitive	Undetermined	Undetermined	Undetermined	Sensitive	Sensitive	Undetermined	Undetermined
SPT18140	Sensitive	Undetermined	Resistant	Undetermined	Undetermined	Undetermined	Sensitive	Sensitive	Undetermined	Undetermined
SPT18145	Sensitive	Undetermined	Resistant	Undetermined	Undetermined	Undetermined	Sensitive	Sensitive	Undetermined	Undetermined
SPT18147	Sensitive	Resistant	Resistant	Sensitive	Undetermined	Undetermined	Resistant	Sensitive	Sensitive	Undetermined
SPT18148	Sensitive	Undetermined	Resistant	Sensitive	Undetermined	Sensitive	Undetermined	Sensitive	Sensitive	Sensitive
SPT18152	Sensitive	Undetermined	Resistant	Undetermined	Undetermined	Undetermined	Sensitive	Sensitive	Undetermined	Undetermined
SPT18156	Sensitive	Sensitive	Resistant	Sensitive	Undetermined	Undetermined	Sensitive	Sensitive	Sensitive	Undetermined
SPT18158	Sensitive	Resistant	Resistant	Undetermined	Sensitive	Undetermined	Resistant	Sensitive	Sensitive	Sensitive
SPT18159	Sensitive	Resistant	Resistant	Undetermined	Undetermined	Undetermined	Resistant	Sensitive	Undetermined	Undetermined
SPT18160	Sensitive	Resistant	Undetermined	Undetermined	Undetermined	Sensitive	Resistant	Sensitive	Undetermined	Sensitive
SPT18162	Sensitive	Undetermined	Undetermined	Sensitive	Sensitive	Sensitive	Undetermined	Sensitive	Sensitive	Sensitive
SPT18163	Sensitive	Undetermined	Resistant	Undetermined	Undetermined	Undetermined	Undetermined	Sensitive	Undetermined	Undetermined
SPT18164	Sensitive	Undetermined	Resistant	Sensitive	Undetermined	Sensitive	Undetermined	Sensitive	Sensitive	Sensitive
SPT18166	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Undetermined	Sensitive	Sensitive	Sensitive
SPT18167	Sensitive	Resistant	Resistant	Sensitive	Undetermined	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT18171	Sensitive	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT18174	Sensitive	Resistant	Resistant	Sensitive	Undetermined	Undetermined	Resistant	Sensitive	Sensitive	Undetermined
SPT18175	Sensitive	Undetermined	Undetermined	Sensitive	Undetermined	Undetermined	Undetermined	Sensitive	Sensitive	Undetermined
SPT18177	Sensitive	Resistant	Sensitive	Undetermined	Undetermined	Undetermined	Resistant	Sensitive	Undetermined	Undetermined
SPT18178	Sensitive	Resistant	Resistant	Undetermined	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT18179	Sensitive	Undetermined	Resistant	Sensitive	Undetermined	Undetermined	Undetermined	Sensitive	Sensitive	Undetermined
SPT18181	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Undetermined	Sensitive	Sensitive	Sensitive	Sensitive
SPT18182	Sensitive	Resistant	Resistant	Undetermined	Undetermined	Undetermined	Resistant	Undetermined	Undetermined	Undetermined
SPT18183	Sensitive	Resistant	Resistant	Undetermined	Undetermined	Undetermined	Resistant	Sensitive	Undetermined	Undetermined
SPT18184	Sensitive	Resistant	Resistant	Sensitive	Undetermined	Undetermined	Resistant	Sensitive	Sensitive	Undetermined
SPT18185	Sensitive	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT18186	Sensitive	Resistant	Sensitive	Undetermined	Sensitive	Undetermined	Sensitive	Sensitive	Sensitive	Sensitive
SPT18188	Sensitive	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT18189	Sensitive	Resistant	Resistant	Undetermined	Undetermined	Undetermined	Resistant	Sensitive	Undetermined	Undetermined
SPT18194	Sensitive	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT18197	Sensitive	Sensitive	Sensitive	Undetermined	Undetermined	Undetermined	Sensitive	Sensitive	Undetermined	Undetermined
SPT18198	Sensitive	Resistant	Sensitive	Undetermined	Sensitive	Sensitive	Undetermined	Sensitive	Sensitive	Sensitive
SPT18199	Sensitive	Resistant	Resistant	Undetermined	Sensitive	Undetermined	Resistant	Sensitive	Sensitive	Sensitive
